X	Y	Bed_Alt
582520.2921	130774.5012	2776.123
582516.2921	130772.5012	2776.835
582518.2921	130772.5012	2776.688
582514.2921	130770.5012	2777.254
582516.2921	130770.5012	2777.283
582512.2921	130768.5012	2777.613
582514.2921	130768.5012	2777.709
582510.2921	130766.5012	2777.98
582512.2921	130766.5012	2778.027
582508.2921	130764.5012	2778.602
582510.2921	130764.5012	2778.559
582506.2921	130762.5012	2779.174
582508.2921	130762.5012	2779.212
582502.2921	130760.5012	2779.778
582504.2921	130760.5012	2779.796
582506.2921	130760.5012	2779.785
582500.2921	130758.5012	2780.23
582502.2921	130758.5012	2780.259
582498.2921	130756.5012	2780.75
582500.2921	130756.5012	2780.772
582494.2921	130754.5012	2781.537
582496.2921	130754.5012	2781.461
582498.2921	130754.5012	2781.352
582492.2921	130752.5012	2782.08
582494.2921	130752.5012	2781.911
582490.2921	130750.5012	2782.662
582492.2921	130750.5012	2782.499
582486.2921	130748.5012	2783.707
582488.2921	130748.5012	2783.425
582490.2921	130748.5012	2783.145
582484.2921	130746.5012	2784.293
582486.2921	130746.5012	2784.047
582482.2921	130744.5012	2784.75
582484.2921	130744.5012	2784.544
582480.2921	130742.5012	2785.167
582482.2921	130742.5012	2785.006
582476.2921	130740.5012	2785.943
582478.2921	130740.5012	2785.617
582480.2921	130740.5012	2785.412
582476.2921	130738.5012	2786.132
582474.2921	130736.5012	2786.502
582476.2921	130736.5012	2786.341
582474.2921	130734.5012	2786.654
582472.2921	130732.5012	2787.104
582474.2921	130732.5012	2786.986
582470.2921	130730.5012	2787.51
582472.2921	130730.5012	2787.455
582470.2921	130728.5012	2787.862
582468.2921	130726.5012	2788.346
582470.2921	130726.5012	2788.321
582468.2921	130724.5012	2788.743
582468.2921	130722.5012	2789.077
582466.2921	130720.5012	2789.514
582468.2921	130720.5012	2789.383
582466.2921	130718.5012	2789.826
582464.2921	130716.5012	2790.301
582466.2921	130716.5012	2790.187
582464.2921	130714.5012	2790.67
582464.2921	130712.5012	2791.12
582462.2921	130710.5012	2791.457
582464.2921	130710.5012	2791.393
582462.2921	130708.5012	2791.696
582462.2921	130706.5012	2792.004
582460.2921	130704.5012	2792.49
582462.2921	130704.5012	2792.368
582460.2921	130702.5012	2792.844
582460.2921	130700.5012	2793.233
582458.2921	130698.5012	2793.713
582460.2921	130698.5012	2793.637
582458.2921	130696.5012	2794.104
582458.2921	130694.5012	2794.41
582458.2921	130692.5012	2794.663
582456.2921	130690.5012	2794.917
582458.2921	130690.5012	2794.882
582456.2921	130688.5012	2795.16
582456.2921	130686.5012	2795.406
582454.2921	130684.5012	2795.783
582456.2921	130684.5012	2795.716
582454.2921	130682.5012	2796.159
582454.2921	130680.5012	2796.582
582454.2921	130678.5012	2796.884
582454.2921	130676.5012	2797.146
582454.2921	130674.5012	2797.375
582454.2921	130672.5012	2797.575
582454.2921	130670.5012	2797.808
582454.2921	130668.5012	2798.02
582452.2921	130666.5012	2798.257
582454.2921	130666.5012	2798.247
582452.2921	130664.5012	2798.546
582450.2921	130662.5012	2798.951
582452.2921	130662.5012	2798.933
582450.2921	130660.5012	2799.403
582448.2921	130658.5012	2799.852
582450.2921	130658.5012	2799.862
582448.2921	130656.5012	2800.197
582446.2921	130654.5012	2800.307
582448.2921	130654.5012	2800.427
582446.2921	130652.5012	2800.622
582446.2921	130650.5012	2800.89
582956.2921	130702.5012	2871.239
582956.2921	130700.5012	2871.993
582956.2921	130698.5012	2873.044
582954.2921	130696.5012	2872.791
582956.2921	130696.5012	2874.328
