,X,Y,alt
1938479,1953,373,17.339851594943866
1538677,1213,572,-37.596845027820564
2142600,2286,251,-19.984095592888025
688801,172,920,-22.338745423564887
1124367,2008,747,30.718745480417056
878347,2921,846,-20.512258247449154
385193,2330,1065,-52.592946117822976
2060006,2390,303,-5.815060957782407
1738560,1734,477,17.205925912492603
39279,2663,1389,-1.4408711048927216
1268429,1981,687,30.629677546805397
1048227,1291,778,-18.253557457760508
269608,1551,1133,-41.068153375409565
1351483,2562,653,-5.987506390967155
56215,2553,1355,0.6292503219419814
497103,2369,1007,-20.291712810057106
2183887,2392,204,-52.76272031746021
110215,3044,1266,7.183766170789113
2023806,1390,324,-19.830353867333088
874689,1848,847,14.830161781349034
360890,2311,1078,-50.23800128325638
1774685,1785,459,13.501972391735762
839382,2614,861,-5.774885488731343
759148,1346,892,-18.057100072308003
1486774,2686,598,45.29703228087874
496218,1484,1007,-0.1693076681749517
2047802,1831,310,8.425905526753013
1403427,139,631,24.65998330351249
1146238,2235,738,-29.001951637265392
2132904,1325,257,9.879950430470672
866985,1891,850,16.181932957202662
823113,1770,867,-1.6269530354888957
374925,1424,1070,-10.228855640919846
750169,2483,896,4.9426690935843
1776474,1588,458,15.620838040609215
1653485,1728,518,23.86495039877218
754882,2140,894,34.68008762189356
677008,1495,925,-13.745554059752067
1367101,1528,646,0.8644764710670643
2054949,2311,306,2.4022104729324383
283494,2547,1124,-21.027445990644992
2023002,2285,325,12.541955021673857
525684,2154,993,32.53330677025815
1567844,1168,558,-32.2761841829556
651974,2767,936,-35.569494998392656
321958,2056,1099,14.196271186453941
1886134,1216,401,-7.162002300533459
1720519,1983,486,16.104041153136222
1490750,2378,596,-5.941596105602912
1971865,1385,354,-19.0220075651564
109780,2609,1266,14.133206403869735
1597328,930,544,-27.442695619589813
1215184,1487,709,-7.6975798595995
103041,2677,1277,23.805796416684643
1892891,2355,398,35.53676925337459
1956291,1791,363,8.111082205379262
998938,1356,798,-28.660978943406008
1439816,1688,617,27.46180098446939
218300,1646,1168,-72.28097830276647
932672,3374,825,-42.305143018221315
1525602,2421,579,-6.660694291789241
1059588,2855,774,-11.43313786612498
1007713,2675,795,-8.892433804627217
263175,2646,1138,2.3641678703252182
677833,2320,925,-8.925909351560676
564705,3009,975,-23.39436902078978
278560,1735,1127,-30.434927133232577
2121612,849,264,24.724286418997963
1156762,3159,734,11.711743536217455
1192539,2853,719,26.873921556514233
2092761,2399,283,-15.92528361907398
370963,3060,1073,-21.015609321003467
2091064,2320,284,-12.090924574076325
1726656,2002,483,11.954018180050298
905077,1296,835,-20.456967789081318
1014002,1531,792,-10.378143933314732
1087513,1520,762,-15.833133843404994
1551321,1520,566,-6.089514934991712
2136335,1764,255,20.263372227208038
2066049,1822,299,14.590484813785679
1842834,1566,424,12.027142168706177
588625,2942,964,-15.743762880309077
381181,2067,1067,21.39852111177788
703435,3336,915,13.945533941252506
1546323,2703,569,58.21258295414873
1763180,2239,465,5.080183306366507
1108820,3377,754,-88.96078468479391
1942660,716,370,28.32593522451498
2060637,1366,302,-12.739560935672216
2073433,986,294,1.5088452824675187
1179347,1690,724,4.570391046236182
