,cell_x,cell_y,X,Y,alt
593,521.0,210.0,583174.8437,129574.4837,-32.95679560078497
595,264.0,431.0,582659.0968,130015.3911,-66.3381931625454
597,838.0,278.0,583807.7594,129710.1992,-30.859417120390845
598,158.0,645.0,582448.7139,130444.7644,-30.14470049026886
599,478.0,586.0,583088.6606,130326.8947,-59.78001293918123
601,210.0,763.0,582552.869,130679.4119,-42.375017549861695
602,499.0,263.0,583130.4414,129680.8688,-48.81885237414417
604,502.0,254.0,583135.077,129662.4027,-47.39895199884222
606,309.0,814.0,582749.9764,130781.7302,-19.506735699787896
607,512.0,228.0,583155.2353,129609.1977,-36.001535669865916
611,206.0,362.0,582544.7862,129877.0881,-39.840638542055785
